tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
8570,NA,PIEN,3.2,-,T,4.0,4.2,-,C,1,S,A,S,-,-,70,90,0,N,-,,2026-08-08,,,
8571,NA,PIEN,4.5,-,T,4.2,4.3,-,C,1,S,A,S,-,-,80,80,0,N,-,,2026-08-08,,,
8572,NA,PIEN,4.1,-,T,5.2,4.6,-,C,1,S,A,S,-,-,50,70,0,N,3,,2026-08-08,,,
8573,NA,ABLA,2.8,-,T,3.4,3.3,-,C,1,S,A,S,10% red,-,80,90,0,N,-,,2026-08-08,,,
8574,NA,PIEN,3.7,-,T,3.3,3.2,-,C,1,S,A,S,-,-,70,70,0,N,-,,2026-08-08,,,
8575,NA,PIEN,1.6,-,T,1.1,1.1,-,C,1,S,A,S,-,-,90,90,0,N,1,,2026-08-08,,,
8576,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8577,NA,ABLA,9.7,9.9,H,11.9,-,-,T,2,I,A,S,5% red,-0.2,90,70,0,N,-,,2026-08-08,,living_length,"Living_Length reads 0.2 with a dash in front (-0.2) - entered -0.2, confirm"
8578,NA,ABLA,,,,NA,,,,,,D,S,,,,,10,,,,2026-08-08,Y,,
8579,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8580,NA,PIEN,5.4,-,T,6.8,-,-,T,1,S,A,S,-,-,100,90,0,N,-,,2026-08-08,,,
8581,NA,PIEN,10.3,10.4,H,12.4,-,-,T,2,I,A,S,-,-,90,70,0,N,-,,2026-08-08,,height1,"Height_1 is hard to read (looks like 10.3 / 12.3) - entered 10.3, confirm"
8582,NA,PIEN,5.3,5.5,H,8.2,-,-,T,1,S,A,S,BW,-,100,80,0,N,-,,2026-08-08,,leaf_damage,"Leaf_Damage letter is overwritten (X/N) - entered N, confirm"
8583,NA,PIEN,18.6,18.2,H,36.0,-,-,T,4,C,A,S,-,-,100,90,0,N,-,,2026-08-08,,degrees_leaning,"Degrees_Leaning is an unclear scribble (looks like 3 or 8) - entered 0, confirm"
8584,NA,PICO,16.5,16.7,H,20.0,-,-,T,3,I,A,S,-,-,90,80,0,N,-,,2026-08-08,,,
8585,NA,ABLA,2.1,-,T,2.3,2.3,-,C,1,S,A,S,BW 20% red,-,100,100,0,N,-,,2026-08-08,,,
8586,NA,PIEN,17.9,18.2,H,24.3,-,-,T,3,C,A,S,sappy,-,100,100,0,N,-,,2026-08-08,,,
8587,NA,PICO,13.9,14.2,H,14.4,-,-,T,2,I,A,S,-,-,80,70,0,N,1,,2026-08-08,,,
8588,NA,PICO,15.3,14.9,H,25.7,-,-,T,3,I,A,S,10% yellow,-,90,90,0,N,-,,2026-08-08,,,
8589,NA,PICO,19.0,19.3,H,38.0,-,-,T,4,D,A,S,20% yellow,-,90,100,0,N,-,,2026-08-08,,pct_crown,"% Crown looks like 10 or 90 - entered 90, confirm"
8590,NA,ABLA,6.7,7.1,H,12.5,-,-,T,2,S,A,S,-,-,40,30,0,N,-,,2026-08-08,,,
8591,NA,POTR,4.5,-,T,4.2,4.1,-,C,2,S,A,S,-,4.4,80,100,0,N,2,slightly,2026-08-08,,comment,Handwritten comment after the pre-printed 'height to highest living = 4.1 m' is cut off ('slightly ...') - confirm
